source_id	target_id
2784	236382
2784	371067
2784	467731
2784	115306
2784	254975
2784	7599
2784	6420
2784	103573
2784	169550
2784	171313
2784	246826
2784	328926
2784	414727
2784	432639
2784	430421
2784	370748
2784	453585
2784	15418
2784	173390
2784	262429
12057	19
12057	70568
12057	178184
12057	244537
12057	259131
12057	460560
12057	24168
12057	139892
12057	151418
12057	176020
12057	214322
12057	271520
12057	262194
12057	417027
12057	423701
12057	444517
12057	45941
12057	66509
12057	153060
12057	152353
19620	266139
19620	11379
19620	232009
19620	314710
19620	119862
19620	292760
19620	224995
19620	249844
19620	269663
19620	480559
19620	301709
19620	350387
19620	447648
19620	241783
19620	250145
19620	132431
19620	360646
19620	399946
19620	435695
19620	31223
23768	372635
23768	167259
23768	51441
23768	193395
23768	80352
23768	273425
23768	180752
23768	73719
23768	6849
23768	182482
23768	418458
23768	46038
23768	381672
23768	449343
23768	478071
23768	364151
23768	443940
23768	97179
23768	265540
23768	393220
23814	98330
23814	61448
23814	95868
23814	108580
23814	75642
23814	54978
23814	337787
23814	441155
23814	477252
23814	482080
23814	269968
23814	126860
23814	202037
23814	479622
23814	96315
23814	404897
23814	58949
23814	380737
23814	388265
23814	140583
28091	194943
28091	34804
28091	447727
28091	175614
28091	43158
28091	361323
28091	428419
28091	310233
28091	59900
28091	105587
28091	261189
28091	303509
28091	407689
28091	124431
28091	471249
28091	29266
28091	29165
28091	190360
28091	455999
28091	183761
34581	2461
34581	202661
34581	453454
34581	448817
34581	27373
34581	338135
34581	135041
34581	59345
34581	141989
34581	450124
34581	13064
34581	95098
34581	81846
34581	133288
34581	351013
34581	205765
34581	349807
34581	91355
34581	204940
34581	262029
46930	476102
46930	177688
46930	26673
46930	205804
46930	305899
46930	282416
46930	255160
46930	372652
46930	158502
46930	90235
46930	74958
46930	346898
46930	1590
46930	474937
46930	417039
46930	132756
46930	34800
46930	104018
46930	324921
46930	413605
51579	129266
51579	269962
51579	412978
51579	35515
51579	356351
51579	430932
51579	466657
51579	38210
51579	40993
51579	23065
51579	129883
51579	308609
51579	434311
51579	109119
51579	352398
51579	257156
51579	353201
51579	45663
51579	193710
51579	344168
62560	417408
