source_id	target_id
2784	246826
2784	432639
2784	328926
2784	414727
2784	160392
2784	337519
2784	90523
2784	400628
2784	212811
2784	430421
2784	212981
2784	232545
2784	243027
2784	173390
2784	480969
2784	58313
2784	77053
2784	86110
2784	8986
2784	11893
12057	460560
12057	259131
12057	19
12057	178184
12057	244537
12057	326187
12057	436833
12057	153060
12057	45941
12057	66509
12057	307516
12057	135850
12057	481431
12057	266906
12057	388888
12057	344949
12057	389695
12057	152353
12057	59288
12057	9707
19620	119862
19620	230516
19620	415889
19620	376874
19620	23693
19620	126604
19620	472704
19620	137016
19620	187267
19620	90465
19620	472526
19620	229015
19620	58642
19620	445956
19620	389267
19620	193034
19620	428575
19620	281656
19620	371766
19620	9481
23768	418458
23768	372635
23768	13319
23768	185143
23768	193395
23768	411113
23768	225364
23768	111625
23768	34426
23768	61149
23768	383700
23768	182793
23768	167259
23768	6849
23768	78568
23768	459761
23768	425768
23768	98314
23768	442978
23768	54689
23814	75642
23814	108580
23814	96315
23814	140583
23814	326535
23814	200738
23814	484771
23814	353885
23814	380737
23814	98330
23814	128089
23814	196802
23814	58949
23814	337787
23814	61448
23814	95868
23814	404897
23814	259654
23814	176402
23814	269968
28091	361323
28091	428419
28091	330112
28091	303509
28091	200237
28091	293483
28091	447727
28091	445261
28091	83765
28091	55874
28091	197803
28091	407689
28091	175614
28091	170925
28091	277394
28091	47405
28091	106247
28091	380681
28091	68773
28091	108552
34581	202661
34581	448817
34581	338135
34581	453454
34581	59345
34581	2461
34581	333469
34581	113067
34581	48984
34581	91499
34581	339296
34581	133288
34581	27373
34581	351013
34581	484248
34581	349028
34581	203858
34581	161384
34581	245947
34581	359755
46930	405372
46930	51374
46930	6307
46930	129271
46930	149745
46930	392653
46930	67758
46930	22893
46930	341321
46930	379184
46930	268612
46930	31954
46930	210206
46930	195310
46930	248158
46930	289918
46930	48416
46930	96045
46930	421296
46930	206039
51579	409900
51579	274114
51579	87955
51579	164875
51579	226524
51579	219960
51579	260706
51579	101759
