source_id	target_id
2784	8986
2784	11893
2784	90523
2784	400628
2784	414727
2784	103573
2784	438299
2784	467731
2784	269179
2784	301362
2784	458437
2784	469331
2784	16418
2784	168644
2784	279555
2784	430421
2784	453585
2784	200001
2784	54461
2784	59562
12057	259131
12057	70568
12057	244537
12057	460560
12057	178184
12057	19
12057	176020
12057	417027
12057	444517
12057	214322
12057	262194
12057	423701
12057	139892
12057	24168
12057	240384
12057	155067
12057	188725
12057	9707
12057	380927
12057	465415
19620	449858
19620	73542
19620	159293
19620	404009
19620	144774
19620	434175
19620	243684
19620	307436
19620	469145
19620	137898
19620	161321
19620	315839
19620	482842
19620	226052
19620	298893
19620	201114
19620	319591
19620	309232
19620	60039
19620	31223
23768	41205
23768	193395
23768	99925
23768	225119
23768	331212
23768	308374
23768	473668
23768	289012
23768	265540
23768	73719
23768	443940
23768	478818
23768	411433
23768	285918
23768	422967
23768	337818
23768	260215
23768	260751
23768	430074
23768	229778
23814	441155
23814	98330
23814	81741
23814	455369
23814	200516
23814	170503
23814	245579
23814	426919
23814	178207
23814	477252
23814	6559
23814	427402
23814	333163
23814	441189
23814	474749
23814	68301
23814	416192
23814	234623
23814	400562
23814	251808
28091	171346
28091	17001
28091	88733
28091	83600
28091	402087
28091	195280
28091	211644
28091	200619
28091	428873
28091	369336
28091	222599
28091	51962
28091	428419
28091	15623
28091	216208
28091	380316
28091	129430
28091	172553
28091	403815
28091	239229
34581	2461
34581	274151
34581	337853
34581	273265
34581	52916
34581	4080
34581	145470
34581	220398
34581	359134
34581	79035
34581	458293
34581	223182
34581	481252
34581	174131
34581	413399
34581	287021
34581	26953
34581	202661
34581	29300
34581	369107
46930	270260
46930	68507
46930	319114
46930	231152
46930	146480
46930	307797
46930	484159
46930	243894
46930	272325
46930	379681
46930	95374
46930	463823
46930	184301
46930	362577
46930	196349
46930	279205
46930	205869
46930	307952
46930	383026
46930	278239
51579	283266
51579	71128
51579	38210
51579	345485
51579	94581
51579	451983
51579	331562
51579	167463
51579	45663
51579	360887
51579	306469
51579	251616
51579	420609
51579	130530
51579	239612
51579	213988
51579	88081
51579	384692
51579	80076
51579	17176
62560	467116
62560	137280
62560	147313
62560	116559
62560	256247
62560	79577
62560	135180
62560	302040
62560	204517
62560	484865
62560	104777
62560	326480
62560	462131
62560	386023
62560	447000
62560	330726
62560	421930
62560	354670
62560	116816
62560	307952
96556	414701
96556	298939
96556	289407
96556	159123
96556	300585
96556	227682
96556	182501
96556	374376
96556	357928
96556	314807
96556	372360
96556	286532
96556	213516
96556	127624
96556	247591
96556	5130
96556	266594
96556	320626
96556	243675
96556	166198
97000	2004
97000	165094
97000	381868
97000	236153
97000	301108
97000	27850
97000	429934
97000	435675
97000	81546
97000	235778
97000	168331
97000	454382
97000	341809
97000	381120
97000	6062
97000	200145
97000	247997
97000	263285
97000	369880
97000	243582
105587	348385
105587	147093
105587	288283
105587	99507
105587	88733
105587	184948
105587	441265
105587	8507
105587	267533
105587	43088
105587	58335
105587	255200
105587	97031
105587	453519
105587	458953
105587	272107
105587	140579
105587	246979
105587	198437
105587	175276
109969	412753
109969	197636
109969	133728
109969	111482
109969	171362
109969	308121
109969	446859
109969	60798
109969	58787
109969	46072
109969	421094
