source_id	target_id
2784	236382
2784	371067
2784	414727
2784	453585
2784	254975
2784	224417
2784	195258
2784	239218
2784	467731
2784	432639
2784	328926
2784	212981
2784	469909
2784	281379
2784	392382
2784	430400
2784	417350
2784	246104
2784	485176
2784	469331
12057	178184
12057	244537
12057	259131
12057	176020
12057	151418
12057	444517
12057	423701
12057	262194
12057	460560
12057	24168
12057	271520
12057	417027
12057	139892
12057	19
12057	214322
12057	388888
12057	307516
12057	344949
12057	481431
12057	266906
19620	266139
19620	375256
19620	11379
19620	314710
19620	119862
19620	31223
19620	447648
19620	350387
19620	360646
19620	399946
19620	132431
19620	435695
19620	174238
19620	232009
19620	366927
19620	224718
19620	182046
19620	457821
19620	290775
19620	330259
23768	73719
23768	273425
23768	167259
23768	443940
23768	182482
23768	46038
23768	80352
23768	393220
23768	372635
23768	193395
23768	180752
23768	339819
23768	57005
23768	277330
23768	421445
23768	51441
23768	294587
23768	381672
23768	6849
23768	418458
23814	98330
23814	108580
23814	477252
23814	96315
23814	404897
23814	380737
23814	140583
23814	326535
23814	109391
23814	353885
23814	200738
23814	484771
23814	416192
23814	86087
23814	331874
23814	240137
23814	370821
23814	169148
23814	368503
23814	87002
28091	447727
28091	43158
28091	361323
28091	428419
28091	310233
28091	407689
28091	303509
28091	124431
28091	190360
28091	89461
28091	292276
28091	352356
28091	330112
28091	382820
28091	121707
28091	30506
28091	175614
28091	130627
28091	143656
28091	329316
34581	2461
34581	448817
34581	450124
34581	255007
34581	95098
34581	202661
34581	329033
34581	13064
34581	304398
34581	230058
34581	91355
34581	384844
34581	238200
34581	204940
34581	262029
34581	173046
34581	446706
34581	348385
34581	134908
34581	439101
46930	205804
46930	74958
46930	324921
46930	104018
46930	372652
46930	255160
46930	417039
46930	177688
46930	26673
46930	158502
46930	132116
46930	209859
46930	296740
46930	54798
46930	305899
46930	346898
46930	132073
46930	137419
46930	474937
46930	34800
51579	129266
51579	412978
51579	269962
51579	430932
51579	466657
51579	129883
51579	109119
51579	35515
51579	116153
51579	356351
51579	236286
51579	23065
51579	353201
51579	193710
51579	414789
51579	257156
51579	302210
51579	103574
51579	352398
51579	70757
62560	417408
